"ID","Country","Operator","HexCode","DialCode","NumberLen","GMTDiff","DST","OrigSupport","SMSProvID","MMSProvID","SMSPoints","MMSPoints","CreatedBy","CreatedOn","ModifBy","ModifOn","IsHome"
"fca67c04-0b8e-4ac4-a542-6dcaf8f8da17","Albania","Mobile Comms","","355","0","+1","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","13.01.2010 17:23:39","0"
"a112bf4c-972e-4c31-a87f-8ba6d6917246","Albania","Vodafone","","355","0","+1","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:09","0"
"9f0b13cd-6175-468b-8c01-eecf1c29a3e3","Algeria","Mobilis","","213","9","+1","","1","","","5,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","16.08.2010 11:06:04","0"
"be448ce0-8c0c-4a4a-985f-696fbd57fc01","Algeria","Djezzy","","213","9","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","30,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","05.04.2012 16:40:32","0"
"414d7316-d801-43b1-a4b9-126008b93f2d","Andorra","S.T.A. MobilAnd","","376","6","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","14.01.2010 17:50:59","0"
"dfb4b52a-58f0-428e-91fa-6fafa441c0ac","Armenia","Beeline","","374","8","+4","6,5,3;6,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","28.06.2011 20:36:23","0"
"4c03e6db-2c6f-4c95-87dd-7b0cc2b8115d","Australia","Optus","","61","9","+8,+10","7,5,10;6,5,3","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:11","0"
"29404f31-a2d1-404f-8cb3-57c72e61a974","Australia","Telstra","","61","0","+8,+10","7,5,10;6,5,3","1","fcc3d215-61e3-4425-8937-4ccb6a900dad","","10,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","09.05.2011 16:22:27","0"
"83465ffb-1a4d-4a2e-8901-28f712a39294","Australia","Vodafone","","61","9","+8,+10","7,5,10;6,5,3","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:11","0"
"afa06995-9bb4-49a5-a202-91102659c703","Austria","Orange","","43","0","+1","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","27.04.2010 10:23:51","0"
"490f4eaa-b136-4569-929f-3e82215bc569","Austria","T-Mobile / Telering","","43","10","+1","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","27.04.2010 16:25:16","0"
"05f97f6e-277b-4e31-89fa-035ae0d5250b","Austria","MobilKom Austria A1","","43","10","+1","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","25,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","09.07.2010 12:50:45","0"
"32785c84-e6b2-47eb-bfa6-439afbc762c1","Sudan","Vivacell","","249","9","2","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","05.05.2010 10:55:24","","","0"
"0256e4a4-0b43-414d-a2c8-efe6170728de","Azerbaijan","Azercell","","994","9","+1","6,5,3;6,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"02266b30-edcd-4f1f-bc02-460b0bb8f38d","Azerbaijan","Bakcell","","994","9","+1","6,5,3;6,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"5f55d4af-708c-4451-882e-47347aba766f","Bahrain","Batelco","","973","8","+3","","1","73510acd-06fc-4364-9898-56aa05a26353","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","30.10.2013 18:59:05","0"
"1a82d7c5-25e4-43fb-90b2-cc3a9230fde3","Bahrain","Zain","","973","8","+3","","1","73510acd-06fc-4364-9898-56aa05a26353","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","30.10.2013 19:00:15","0"
"cbfe6413-128a-4337-80b4-cd4c7279799c","Bangladesh","Grameen Phone","","880","0","+6","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","20,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","09.12.2011 18:19:40","0"
"6dd0af45-7cdf-41aa-954b-cc368fe1968e","Belarus","Velcom Mobile Digital Comm.","","375","9","+2","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"0456837f-e874-4b05-8e89-95ae20b897d2","Belarus","Mobile Telesystems","","375","9","2","7,5,3;7,5,10","1","941c8ab0-9910-4c5e-a586-e0730f12a689","","10,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","31.08.2010 15:54:01","0"
"2649e0a4-ae43-40d0-abe8-86f381d43d42","Belgium","Belgacom Mobile Proximus","","32","9","+1","7,5,3;7,5,10","1","73510acd-06fc-4364-9898-56aa05a26353","","5,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","15.07.2013 14:32:46","0"
"a4554258-75e0-490f-a3da-9f053152ba30","Belgium","KPN Orange","","32","9","+1","7,5,3;7,5,10","1","73510acd-06fc-4364-9898-56aa05a26353","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","15.07.2013 14:33:15","0"
"6f0228b6-efad-460a-9624-d69101326ee6","Belgium","Mobistar","","32","9","+1","7,5,3;7,5,10","1","73510acd-06fc-4364-9898-56aa05a26353","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","15.07.2013 14:43:16","0"
"9c88b7ff-2624-4ee0-b28d-9068082f47a2","Benin","Spacetel/MTN","","229","8","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","28.06.2011 21:01:36","0"
"a9bb7723-e26b-43c1-ac7d-4cb6085d8856","Bolivia","Nuevatel","","591","8","-4","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"60c00920-9415-47c9-a0a2-ea34c33a50a0","Bosnia Herzegovina","Eronet","","387","8","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"0225b99f-a5fd-43cb-80bd-c4c0ad59a0fd","Bosnia Herzegovina","Mobilna Srpske","","387","8","+1","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"54ec68d7-7fb6-4219-9768-fe9cf40380dc","Bosnia Herzegovina","PE PTT BIH","","387","8","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","22.01.2010 17:19:51","0"
"29b78e20-a566-469b-b4bb-1259fc807dd9","Botswana","Mascom Wireless","","267","8","+2","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"c04abd2e-deca-489e-baf6-586c55c1b914","Botswana","Vista Cellular","","267","0","+2","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"5c8394ae-7443-46c2-ab57-5b928fcd772b","Brunei","DST Communications","","673","7","+8","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"46702471-1dbe-4b2b-bcac-60ce2851ef90","Bulgaria","MobilTel AD","","359","9","+2","7,5,3;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"69a20ec0-24fb-47e7-8282-69a8a642f570","Burkina Faso","Celtel Burkina Faso","","226","8","0","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","13.06.2011 11:30:38","0"
"2198a93b-aac0-4940-9727-a86b68d93c14","Burkina Faso","Telecel Faso SA","","226","0","0","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","0","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","22.01.2010 17:20:49","0"
"7176f51c-2012-4e31-bdaf-4e511855986e","Cambodia","CamGSM","","855","8","+7","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"ed7cc349-58f7-4af2-ba30-588894de3332","Cambodia","Casacom","","855","8","+7","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"ace60196-b987-4f7c-890c-0073fa803e2a","Cameroon","Mtn","","237","0","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"51fdf4c7-5779-4b6e-ac76-8c8a8db8ea81","Cameroon","Orange","","237","0","+1","","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","11.01.2010 17:41:03","0"
"ecc6bd6d-9120-4850-a8d1-7b42e281c365","Canada","Bell Canada","","1","10","-3.5,-8","7,1,4;7,5,10","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","","","0"
"1b07275a-c785-4594-a21b-57f35cd9d63f","Canada","Microcell FIDO","","1","10","-3.5,-8","7,1,4;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"19033641-fca8-4c7a-bf7b-dc86cb8366c5","Canada","Rogers AT&T","","1","10","-3.5,-8","7,1,4;7,5,10","1","65c4b123-2a51-49e1-84a8-b31dac878d8c","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","14.12.2010 17:57:19","0"
"26dbd77e-8fc9-4148-a102-9a1f095ad49e","Cape Verde","CV Movel","","238","0","-1","","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","86fe6fe0-ef22-4f0b-bbaf-1510262c8298","07.12.2009 14:49:13","0"
"f266f1a7-8490-4e14-adb1-c59aa7596672","Chile","Entel PCS Telecom.","","56","9","-4","7,2,10;7,1,3","1","","","5,0000","5","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","26.05.2007 12:34:59","ae3b4951-92ae-41c5-83b0-6f33f1fd57b9","28.06.2011 22:31:54","0"
